DisplayName,UserPrincipalName,Password,MailNickname,location,
Alfy Solomon,AlfyS@24pd52.onmicrosoft.com,Pass123,alsysol,BE
Zak Oslow,ZakO@24pd52.onmicrosoft.com,Pass123,zako,BE
Gius Amato,Gius@24pd52.onmicrosoft.com,Pass132,gius,BE
Cass Labs,Cass@24pd52.onmicrosoft.com,Pass123,cass,BE
Tomy Labs,Tomy@24pd52.onmicrosoft.com,Pass123,tomy,BE
Ninou Labs,Ninou@24pd52.onmicrosoft.com,Pass123,ninou,BE
Kyno Labs,Kyno@24pd52.onmicrosoft.com,Pass123,kyno,BE
Lebron James,Lebron@24pd52.onmicrosoft.com,Pass123,lebron,BE
Steph Curry,Steph@24pd52.onmicrosoft.com,Pass123,steph,BE
Dwight Howard,Dwight@24pd52.onmicrosoft.com,Pass123,dwight,BE
Nano Bells,Nano@24pd52.onmicrosoft.com,Pass123,nano,BE
Vince Carter,Vince@24pd52.onmicrosoft.com,Pass123,vince,BE
Lofi HipHop,Lofi@24pd52.onmicrosoft.com,Pass123,lofi,BE
Isaiah Tomas,Isaiah@24pd52.onmicrosoft.com,Pass123,isaiah,BE
Michael Corleone,Michael@24pd52.onmicrosoft.com,Pass123,michael,BE
